Generation,BestCandidate, Average, WorstCandidate
1475, 0.68, 0.6757333, 0
1480, 0.68, 0.6778667, 0
1485, 0.68, 0.6778666, 0
1490, 0.68, 0.68, 0
1495, 0.68, 0.6512, 0
1500, 0.68, 0.6794667, 0
1505, 0.68, 0.68, 0
1510, 0.68, 0.68, 0
1515, 0.68, 0.5856, 0
1520, 0.68, 0.6416, 0
1525, 0.68, 0.6053333, 0
1530, 0.68, 0.6501333, 0
1535, 0.68, 0.6266667, 0
1540, 0.68, 0.6426666, 0
1545, 0.68, 0.6778667, 0
1550, 0.68, 0.6757334, 0
1555, 0.68, 0.6509333, 0
1560, 0.68, 0.6768, 0
1565, 0.68, 0.6128, 0
1570, 0.68, 0.6736, 0
1575, 0.68, 0.6704, 0
1580, 0.68, 0.668, 0
1585, 0.68, 0.6698666, 0
1590, 0.68, 0.6751999, 0
1595, 0.68, 0.6736, 0
1600, 0.68, 0.6557333, 0
1605, 0.68, 0.6794667, 0
1610, 0.68, 0.6725333, 0
1615, 0.68, 0.6613333, 0
1620, 0.68, 0.6032001, 0
1625, 0.68, 0.6789333, 0
1630, 0.68, 0.6074666, 0
1635, 0.68, 0.6464, 0
1640, 0.68, 0.6792, 0
1645, 0.68, 0.6429333, 0
1650, 0.68, 0.6712, 0
1655, 0.68, 0.6573334, 0
1660, 0.68, 0.6144, 0
1665, 0.68, 0.68, 0
1670, 0.68, 0.6272, 0
1675, 0.68, 0.68, 0
1680, 0.68, 0.652, 0
1685, 0.68, 0.6639999, 0
1690, 0.68, 0.6522667, 0
1695, 0.68, 0.6464, 0
1700, 0.68, 0.68, 0
1705, 0.68, 0.6608, 0
1710, 0.68, 0.6192, 0
1715, 0.68, 0.68, 0
1720, 0.68, 0.68, 0
1725, 0.68, 0.68, 0
1730, 0.68, 0.6517334, 0
1735, 0.68, 0.6789333, 0
1740, 0.68, 0.6794667, 0
1745, 0.68, 0.6794665, 0
1750, 0.68, 0.6759999, 0
1755, 0.68, 0.68, 0
1760, 0.68, 0.6656, 0
1765, 0.68, 0.6613333, 0
1770, 0.68, 0.6688001, 0
1775, 0.68, 0.6655999, 0
1780, 0.68, 0.6768, 0
1785, 0.68, 0.6317333, 0
1790, 0.68, 0.68, 0
1795, 0.68, 0.6768, 0
1800, 0.68, 0.6789334, 0
1805, 0.68, 0.6789333, 0
1810, 0.68, 0.6085333, 0
1815, 0.68, 0.6725332, 0
1820, 0.68, 0.6797333, 0
1825, 0.68, 0.6410667, 0
1830, 0.68, 0.68, 0
1835, 0.68, 0.6647999, 0
1840, 0.68, 0.6602667, 0
1845, 0.68, 0.6789333, 0
1850, 0.68, 0.6781333, 0
1855, 0.68, 0.6552001, 0
1860, 0.68, 0.6693333, 0
1865, 0.68, 0.668, 0
1870, 0.68, 0.6709334, 0
1875, 0.68, 0.6704, 0
1880, 0.68, 0.68, 0
1885, 0.68, 0.6794666, 0
1890, 0.68, 0.68, 0
1895, 0.68, 0.652, 0
1900, 0.68, 0.6666667, 0
1905, 0.68, 0.68, 0
1910, 0.68, 0.68, 0
1915, 0.68, 0.6765333, 0
1920, 0.68, 0.6554667, 0
1925, 0.68, 0.68, 0
1930, 0.68, 0.68, 0
1935, 0.68, 0.68, 0
1940, 0.68, 0.6512, 0
1945, 0.68, 0.6773333, 0
1950, 0.68, 0.6589333, 0
1955, 0.68, 0.68, 0
1960, 0.68, 0.6736, 0
1965, 0.68, 0.6661333, 0
1970, 0.68, 0.6602667, 0
1975, 0.68, 0.6544, 0
1980, 0.68, 0.6504, 0
1985, 0.68, 0.6661333, 0
1990, 0.68, 0.6624001, 0
1995, 0.68, 0.6346667, 0
2000, 0.68, 0.6368001, 0
2005, 0.68, 0.6378667, 0
2010, 0.68, 0.6717333, 0
2015, 0.68, 0.6512, 0
2020, 0.68, 0.6341333, 0
2025, 0.68, 0.6437333, 0
2030, 0.68, 0.6738666, 0
2035, 0.68, 0.6261333, 0
2040, 0.68, 0.6650667, 0
2045, 0.68, 0.6741334, 0
2050, 0.68, 0.68, 0
2055, 0.68, 0.6784, 0
2060, 0.68, 0.6789334, 0
2065, 0.68, 0.6794667, 0
2070, 0.68, 0.6677333, 0
2075, 0.68, 0.68, 0
2080, 0.68, 0.6530666, 0
2085, 0.68, 0.68, 0
2090, 0.68, 0.5472, 0
2095, 0.68, 0.6512001, 0
2100, 0.68, 0.6504, 0
2105, 0.68, 0.6608, 0
2110, 0.68, 0.6205333, 0
2115, 0.68, 0.6528, 0
2120, 0.68, 0.6514666, 0
2125, 0.68, 0.6490667, 0
2130, 0.68, 0.6594667, 0
2135, 0.68, 0.6794667, 0
2140, 0.68, 0.6088, 0
2145, 0.68, 0.6512, 0
2150, 0.68, 0.6794667, 0
2155, 0.68, 0.68, 0
2160, 0.68, 0.68, 0
2165, 0.68, 0.6717333, 0
2170, 0.68, 0.6624, 0
2175, 0.68, 0.6448, 0
2180, 0.68, 0.68, 0
2185, 0.68, 0.68, 0
2190, 0.68, 0.68, 0
2195, 0.68, 0.68, 0
2200, 0.68, 0.6704, 0
2205, 0.68, 0.68, 0
2210, 0.68, 0.6592001, 0
2215, 0.68, 0.6608, 0
2220, 0.68, 0.6784, 0
2225, 0.68, 0.68, 0
2230, 0.68, 0.6576, 0
2235, 0.68, 0.6704, 0
2240, 0.68, 0.6765334, 0
2245, 0.68, 0.6768, 0
2250, 0.684, 0.6778666, 0
2255, 0.684, 0.6634666, 0
2260, 0.684, 0.6832001, 0
2265, 0.684, 0.6805333, 0
2270, 0.684, 0.6826667, 0
2275, 0.684, 0.6746666, 0
2280, 0.684, 0.6672, 0
2285, 0.684, 0.6594667, 0
2290, 0.684, 0.684, 0
2295, 0.688, 0.6677334, 0
2300, 0.696, 0.6853334, 0
2305, 0.696, 0.6589334, 0
2310, 0.696, 0.6746667, 0
2315, 0.696, 0.6805334, 0
2320, 0.696, 0.6688001, 0
2325, 0.696, 0.696, 0
2330, 0.696, 0.6765334, 0
2335, 0.696, 0.696, 0
2340, 0.696, 0.6746667, 0
2345, 0.696, 0.6594667, 0
2350, 0.696, 0.696, 0
2355, 0.696, 0.696, 0
2360, 0.696, 0.6576, 0
2365, 0.696, 0.696, 0
2370, 0.696, 0.6885334, 0
2375, 0.696, 0.6690667, 0
2380, 0.696, 0.6874667, 0
2385, 0.696, 0.6952, 0
2390, 0.696, 0.6949334, 0
2395, 0.696, 0.6544001, 0
2400, 0.696, 0.6610667, 0
2405, 0.696, 0.6944001, 0
2410, 0.696, 0.6954667, 0
2415, 0.696, 0.6648, 0
2420, 0.696, 0.5591999, 0
2425, 0.696, 0.632, 0
2430, 0.696, 0.6954667, 0
2435, 0.696, 0.6853334, 0
2440, 0.696, 0.6949334, 0
2445, 0.696, 0.696, 0
2450, 0.696, 0.6949334, 0
2455, 0.696, 0.6733333, 0
2460, 0.696, 0.6514667, 0
2465, 0.696, 0.692, 0
2470, 0.696, 0.6917334, 0
2475, 0.696, 0.6736001, 0
2480, 0.696, 0.696, 0
2485, 0.696, 0.6522667, 0
2490, 0.696, 0.6650667, 0
2495, 0.696, 0.6864001, 0
2500, 0.696, 0.6613333, 0
2505, 0.696, 0.696, 0
2510, 0.696, 0.5973333, 0
2515, 0.696, 0.6944, 0
2520, 0.696, 0.6637334, 0
2525, 0.696, 0.6946667, 0
2530, 0.696, 0.6736, 0
2535, 0.696, 0.6896001, 0
2540, 0.696, 0.696, 0
2545, 0.696, 0.6650667, 0
2550, 0.696, 0.6842667, 0
2555, 0.696, 0.6677334, 0
2560, 0.696, 0.6800001, 0
2565, 0.696, 0.696, 0
2570, 0.696, 0.696, 0
2575, 0.696, 0.6949334, 0
2580, 0.696, 0.6957334, 0
2585, 0.696, 0.6944, 0
2590, 0.7, 0.6906666, 0
2595, 0.7, 0.656, 0
2600, 0.7, 0.6975999, 0
2605, 0.7, 0.6610666, 0
2610, 0.7, 0.6965332, 0
2615, 0.7, 0.6999999, 0
2620, 0.7, 0.6461332, 0
2625, 0.7, 0.6954666, 0
2630, 0.7, 0.6664, 0
2635, 0.7, 0.6746666, 0
2640, 0.7, 0.6978666, 0
2645, 0.7, 0.6786667, 0
2650, 0.7, 0.6999999, 0
2655, 0.7, 0.6999999, 0
2660, 0.7, 0.6999999, 0
2665, 0.7, 0.6786665, 0
2670, 0.7, 0.6962666, 0
2675, 0.7, 0.6789333, 0
2680, 0.7, 0.6818666, 0
2685, 0.7, 0.6690666, 0
2690, 0.7, 0.6991999, 0
2695, 0.7, 0.6895999, 0
2700, 0.7, 0.6850666, 0
2705, 0.7, 0.6999999, 0
2710, 0.7, 0.6999999, 0
2715, 0.7, 0.6999999, 0
2720, 0.7, 0.6941332, 0
2725, 0.7, 0.6765333, 0
2730, 0.7, 0.684, 0
2735, 0.7, 0.6615999, 0
2740, 0.7, 0.6629334, 0
2745, 0.7, 0.6672001, 0
2750, 0.7, 0.6696, 0
2755, 0.7, 0.6861333, 0
2760, 0.7, 0.6976, 0
2765, 0.7, 0.6829333, 0
2770, 0.7, 0.6799999, 0
2775, 0.7, 0.6930665, 0
2780, 0.7, 0.6999999, 0
2785, 0.7, 0.6999999, 0
2790, 0.7, 0.6834667, 0
2795, 0.7, 0.6938666, 0
2800, 0.7, 0.6965332, 0
2805, 0.7, 0.6999999, 0
2810, 0.7, 0.6136001, 0
2815, 0.7, 0.6991999, 0
2820, 0.7, 0.6999999, 0
2825, 0.7, 0.6424, 0
2830, 0.7, 0.6984, 0
2835, 0.7, 0.6685333, 0
2840, 0.7, 0.6722666, 0
2845, 0.7, 0.6999999, 0
2850, 0.7, 0.5962667, 0
2855, 0.7, 0.6698666, 0
2860, 0.7, 0.6994666, 0
2865, 0.7, 0.6775999, 0
2870, 0.7, 0.6122667, 0
2875, 0.7, 0.6538666, 0
2880, 0.7, 0.6664, 0
2885, 0.7, 0.6583999, 0
2890, 0.7, 0.6999999, 0
